Domain,Format Loads,Impressions,Format Fill Rate,Viewability Rate,Efficiency Rate,CPM,Clicks,CTR,Category,Category importance,Country,Geographical zone,Geographical zone importance
memurlar.net,2739246.934640523,8942.444444444445,0.5968627450980395,83.80333333333336,92.72026143790849,1.5866013071895424,46.8235294117647,0.4558823529411763,Health & Wellness,2.0807530344315084,Turkey,West Europe,11.98
missyusa.com,1732798.1491712707,124798.82872928177,10.81419889502763,78.07209944751384,98.46685082872926,1.7137569060773474,98.44198895027624,0.07071823204419878,News & Portals,58.607877136487495,United States,North America,8.32
bitbol.la,1054934.0454545454,34032.09090909091,3.7656818181818186,86.46545454545456,89.5134090909091,1.4413636363636366,145.27272727272728,0.3897727272727272,Sports,7.629427792915531,Peru,South America,53.27
youm7.com,992087.9516129033,11080.763440860215,1.1370967741935485,61.259731182795676,91.51983870967737,1.7281182795698928,48.46236559139785,0.40172043010752695,News & Portals,58.607877136487495,Egypt,Africa,1.1
chinatimes.com,990576.1366120218,188611.00546448087,19.54144808743168,90.04524590163933,99.13666666666674,1.7974590163934454,1311.983606557377,0.7873497267759568,News & Portals,58.607877136487495,Taiwan,Asia,13.09
1news.com.br,978111.1714285715,138521.2457142857,7.45834285714286,45.59697142857142,55.02805714285714,0.9258285714285717,562.3885714285715,0.2317714285714285,News & Portals,58.607877136487495,Brazil,South America,53.27
mundopositivo.com.br,969535.2786885246,79405.10109289618,13.276967213114759,74.55775956284153,97.7590710382514,1.8115846994535512,9.663934426229508,0.027950819672131075,Community & Culture,6.613822145157296,Brazil,South America,53.27
gimy.tv,917792.5217391305,34729.34782608696,17.19173913043478,74.58347826086955,88.05739130434782,1.5856521739130438,355.3478260869565,0.8469565217391305,Movies & Television,3.5670052018825857,Taiwan,Asia,13.09
rediff.com,915541.3942857143,86602.11714285714,14.86340000000001,77.82399999999994,98.1856285714286,1.7426285714285723,331.72857142857146,0.3671999999999998,News & Portals,58.607877136487495,India,Asia,13.09
stiripesurse.ro,842081.2790697674,22125.53488372093,4.473255813953489,76.10023255813954,86.21744186046513,1.4848837209302326,147.25581395348837,0.5423255813953488,News & Portals,58.607877136487495,Romania,East Europe,10.43
laverdadnoticias.com,835287.5327868853,224538.6830601093,27.081612021857946,86.62557377049178,97.610300546448,1.6070218579234974,3274.4754098360654,1.5387431693989069,News & Portals,58.607877136487495,Mexico,South America,53.27
correiobraziliense.com.br,809165.1279069767,160481.85465116278,23.229244186046525,72.2896220930233,97.46851744186044,1.6631686046511596,743.6366279069767,0.5129651162790697,News & Portals,58.607877136487495,Brazil,South America,53.27
plantaoaovivo.com.br,796087.8872180451,22824.27067669173,1.9348872180451118,83.45315789473685,86.4769172932331,1.4927819548872179,145.12781954887217,0.7386466165413533,Community & Culture,6.613822145157296,Brazil,South America,53.27
merca20.com,742033.655737705,54895.56010928962,9.035901639344264,67.4550819672131,91.97650273224052,1.5617213114754074,338.60109289617486,0.5946448087431694,Tech & Gaming,1.9816695566014366,Mexico,South America,53.27
minuto30.com,723142.7093023256,25176.748062015504,3.7706201550387592,84.00693798449609,93.64356589147286,1.7122480620155023,149.0891472868217,0.6354651162790703,News & Portals,58.607877136487495,Colombia,South America,53.27
huffingtonpost.es,722822.3909774437,125441.87218045113,21.768345864661654,87.98857142857139,98.57466165413533,1.483383458646617,1667.390977443609,1.098195488721805,News & Portals,58.607877136487495,Spain,West Europe,11.98
4shared.com,708477.1666666666,9.666666666666666,0.0,62.15833333333333,24.971666666666664,2.183333333333333,0.0,0.0,Community & Culture,6.613822145157296,Brazil,South America,53.27
olevod.com,672048.3783783783,64357.32432432433,9.764324324324326,72.16675675675674,94.10135135135137,1.9902702702702704,235.2972972972973,0.3781081081081081,Movies & Television,3.5670052018825857,United States,North America,8.32
lebanonfiles.com,658081.283018868,2777.194968553459,0.431635220125786,68.71672955974843,87.35867924528301,1.7325786163522,16.364779874213838,0.5298113207547168,News & Portals,58.607877136487495,Lebanon,Arabia,1.55
storyinsta.com,634961.5967741936,13314.467741935483,2.2322580645161296,78.46,91.1206451612903,1.5375806451612903,141.24193548387098,0.9461290322580647,Community & Culture,6.613822145157296,United States,North America,8.32
elcomercio.com,634105.0684931506,55717.98630136986,23.55753424657534,80.02301369863014,88.41917808219176,1.5541095890410952,394.7260273972603,0.610821917808219,News & Portals,58.607877136487495,Ecuador,South America,53.27
ask.fm,613391.8852459016,7281.6775956284155,1.274836065573771,62.21882513661194,89.87191256830596,1.7967213114754093,4.355191256830601,0.0665300546448087,News & Portals,58.607877136487495,Egypt,Africa,1.1
jugantor.com,612970.0412979351,14674.57227138643,2.455427728613568,86.12970501474925,98.09604719764022,1.747699115044249,46.817109144542776,0.3251327433628318,News & Portals,58.607877136487495,Bangladesh,Asia,13.09
tayyar.org,608149.006097561,12721.073170731708,2.154817073170732,82.57201219512194,97.38012195121954,1.70079268292683,110.83536585365853,0.9072560975609757,News & Portals,58.607877136487495,Lebanon,Arabia,1.55
editalconcursosbrasil.com.br,606538.1923076923,59205.0,5.909230769230769,77.48038461538462,94.19961538461537,1.7334615384615382,685.8076923076923,1.5861538461538462,Money & Investing,1.189001733960862,Brazil,South America,53.27
planet.fr,599581.2,7199.466666666666,14.215333333333332,70.93,85.712,1.0753333333333333,62.93333333333333,0.6513333333333334,News & Portals,58.607877136487495,France,West Europe,11.98
listindiario.com,597021.2481203007,73023.63909774437,12.72593984962406,80.38661654135339,95.5234962406015,1.6818796992481186,895.5338345864661,1.33296992481203,News & Portals,58.607877136487495,Dominican Republic,South America,53.27
