Cluster,Subcluster,Domain,Format Loads,Impressions,Format Fill Rate,Viewability Rate,Efficiency Rate,CPM,Clicks,CTR,Category,Country,Geographical zone
1,1,inforuss.info,85713.18,65.73,0.07,96.26,99.47,1.62,0.45,0.59,News & Portals,Russia,East Europe
1,1,newindianexpress.com,80994.86,3041.95,8.95,77.18,89.0,1.57,10.37,0.29,News & Portals,United Kingdom,West Europe
1,1,eldigitalcastillalamancha.es,80706.23,20194.58,20.63,82.53,89.73,1.64,151.54,0.61,News & Portals,Spain,West Europe
1,1,stirilekanald.ro,80331.75,4633.25,6.06,89.75,89.37,1.61,22.17,0.48,News & Portals,Romania,East Europe
1,1,etnet.com.hk,79272.17,13759.65,18.53,70.7,95.4,1.71,23.53,0.2,News & Portals,Hong Kong,Asia
1,1,vetogate.com,78177.05,114.63,0.11,53.92,55.78,1.12,0.66,0.29,News & Portals,Egypt,Africa
1,1,fanipogody.pl,73040.84,4960.25,6.73,82.77,93.56,1.44,54.17,1.05,News & Portals,Poland,East Europe
1,1,tvguide.co.uk,72791.06,4412.1,3.63,24.0,34.69,0.61,7.4,0.04,News & Portals,United Kingdom,West Europe
1,1,sydneytoday.com,72392.12,2533.61,2.98,68.47,81.18,1.43,9.3,0.28,News & Portals,Australia,Australia
1,1,nst.com.my,71651.49,9517.34,11.37,82.8,95.42,1.55,78.93,1.11,News & Portals,Malaysia,Asia
1,1,tunoticiapr.com,71316.26,10466.15,8.29,53.11,61.32,1.09,111.37,0.96,News & Portals,United States,North America
1,1,israelhayom.co.il,70605.46,16711.03,23.9,72.0,98.24,1.89,55.76,0.35,News & Portals,Israel,Asia
1,1,laprensa.hn,70004.24,4252.7,6.37,78.53,88.55,1.64,26.12,0.56,News & Portals,Spain,West Europe
1,1,sobesednik.ru,67185.0,42.5,0.06,98.82,99.56,1.55,0.0,0.0,News & Portals,Russia,East Europe
1,1,viva.co.id,67101.28,2369.01,8.34,44.55,53.61,0.85,15.88,0.23,News & Portals,Singapore,Asia
1,1,defence-line.org,66660.4,1374.63,2.16,82.97,96.14,1.71,8.98,0.68,News & Portals,Ukraine,East Europe
1,1,tutiempo.net,66525.64,3587.38,5.46,80.39,91.45,1.63,9.58,0.28,News & Portals,Spain,West Europe
1,1,prothomalo.com,64837.42,10042.64,8.12,39.29,48.79,0.85,21.03,0.11,News & Portals,Bangladesh,Asia
1,1,dkn.tv,59531.55,2098.19,1.05,52.3,59.93,1.0,13.5,0.59,News & Portals,Vietnam,Asia
1,1,rioja2.com,59029.22,9676.2,18.36,89.72,97.8,1.69,66.71,0.71,News & Portals,Spain,West Europe
1,1,journalistenwatch.com,58545.71,140.83,0.61,35.1,39.53,0.67,1.19,0.28,News & Portals,Germany,West Europe
1,1,mission-tw.com,55838.07,6009.91,17.28,89.07,99.41,1.72,31.12,0.6,News & Portals,Taiwan,Asia
1,1,thanhnien.vn,55595.33,6184.15,12.44,75.2,87.6,1.64,5.17,0.09,News & Portals,Vietnam,Asia
1,1,metromode.se,54919.04,12814.64,24.88,79.25,95.89,1.6,76.79,0.66,News & Portals,Sweden,West Europe
1,1,bdnews24.com,52639.22,3375.57,3.31,37.65,49.48,0.86,16.43,0.22,News & Portals,Kuwait,Arabia
1,1,newtimes.co.rw,52456.0,1169.0,3.09,67.66,62.11,0.84,11.5,0.65,News & Portals,Rwanda,Africa
