Cluster,Subcluster,Domain,Format Loads,Impressions,Format Fill Rate,Viewability Rate,Efficiency Rate,CPM,Clicks,CTR,Category,Country,Geographical zone
4,3,tvnotas.com.mx,420542.8,34174.99,8.69,88.16,95.2,1.69,165.47,0.51,Glamour,Mexico,South America
4,3,tudogostoso.com.br,398837.5,135026.8,36.51,77.02,99.42,1.61,313.37,0.26,Food,Brazil,South America
4,3,vix.com,369497.67,37764.0,8.82,93.18,96.84,1.29,222.67,0.46,Movies & Television,Brazil,South America
4,3,joaobidu.com.br,351715.6,35401.09,10.32,83.09,99.26,1.69,214.4,0.63,Health & Wellness,Brazil,South America
4,4,calcuworld.com,314675.34,24023.86,8.14,61.01,94.69,1.7,108.5,0.46,Education & Careers,Mexico,South America
4,4,cadena3.com,279359.49,11821.36,5.0,76.58,74.43,1.32,110.14,0.77,Music & Radio,Argentina,South America
4,4,cifraclub.com.br,277794.03,36980.55,31.5,83.57,97.92,1.71,209.46,0.31,Music & Radio,Brazil,South America
4,4,zonarutoppuden.com,256843.22,3845.43,1.52,86.36,94.96,2.38,27.16,0.89,Movies & Television,Mexico,South America
4,4,facilisimo.com,242316.11,21667.84,13.15,83.21,91.79,1.63,200.88,0.9,Community & Culture,Mexico,South America
4,4,tvazteca.com,228963.29,39914.31,19.37,87.59,97.76,1.52,409.5,1.12,Community & Culture,Mexico,South America
4,4,jogosgratis.online,226328.12,4276.02,3.21,75.55,91.38,1.64,0.32,0.02,Casual Games,Brazil,South America
4,4,lance.com.br,216415.27,69663.29,30.78,75.05,99.32,1.63,239.77,0.32,Sports,Brazil,South America
4,4,colunadofla.com,215234.52,38433.01,18.83,86.92,99.45,1.52,101.19,0.29,Sports,Brazil,South America
4,4,coolrom.com.au,209372.92,1704.5,1.04,79.62,58.09,1.51,10.75,0.69,Tech & Gaming,Mexico,South America
4,4,diarioshow.com,209083.98,5700.22,2.74,90.47,92.65,1.69,66.0,0.97,Glamour,Argentina,South America
4,4,canal1.com.co,194255.03,12606.5,7.59,75.93,82.55,1.49,124.47,0.95,Glamour,Colombia,South America
4,4,latina.pe,193115.27,23130.27,14.85,87.81,96.51,1.74,279.01,1.18,Community & Culture,Peru,South America
4,4,minhavida.com.br,181367.84,126908.93,67.94,87.25,99.49,1.74,657.39,0.51,Health & Wellness,Brazil,South America
4,4,lasestrellas.tv,175915.86,13830.48,24.32,88.66,95.43,1.51,113.68,0.79,Glamour,Mexico,South America
4,4,formulatv.com,175789.78,13062.34,7.68,79.84,96.22,1.66,154.02,1.16,Movies & Television,Mexico,South America
4,4,letras.com,171004.71,35891.41,24.5,81.77,97.09,1.66,80.74,0.22,Music & Radio,Mexico,South America
4,4,aulafacil.com,170019.39,13820.89,9.67,83.35,95.39,1.66,92.69,0.69,Education & Careers,Mexico,South America
4,4,conmishijos.com,165731.26,18688.93,11.26,80.61,94.25,1.66,77.27,0.45,Family & Parenting,Mexico,South America
4,4,minecrafteo.com,165502.63,7897.24,4.56,71.69,94.22,1.66,33.64,0.47,Tech & Gaming,Argentina,South America
4,4,purepeople.com.br,164130.06,44112.68,23.42,84.32,98.77,1.54,379.78,0.84,Glamour,Brazil,South America
4,4,primiciasya.com,163156.51,4540.81,2.85,78.37,80.36,1.77,60.34,0.82,Glamour,Argentina,South America
4,4,upsocl.com,161888.03,22916.51,16.07,88.0,96.44,1.64,145.96,0.63,Community & Culture,Mexico,South America
4,4,hoy.com.py,161847.17,9807.25,4.65,61.42,65.9,1.15,84.21,0.55,Money & Investing,Paraguay,South America
4,4,culturacolectiva.com,153043.52,14421.8,16.36,69.63,92.45,1.7,66.58,0.49,Community & Culture,Mexico,South America
4,4,mi-rfc.com.mx,152626.36,8965.21,5.26,80.7,97.15,1.56,105.9,1.51,Community & Culture,Mexico,South America
4,4,iprofesional.com,148584.59,5200.04,6.84,59.16,78.11,1.41,22.48,0.3,Money & Investing,Argentina,South America
4,4,baenegocios.com,147439.06,4153.29,3.69,74.1,87.17,1.62,44.4,0.61,B-to-B,Argentina,South America
4,4,estilonext.com,143666.29,36473.26,23.13,89.68,95.92,1.55,327.16,1.11,Health & Wellness,Mexico,South America
4,4,netflu.com.br,143354.68,27230.69,20.92,79.6,99.02,1.6,110.15,0.44,Sports,Brazil,South America
4,4,bemparana.com.br,142842.3,11776.85,8.25,87.25,99.26,1.53,64.94,0.56,Community & Culture,Brazil,South America
4,4,eleconomista.com.mx,140845.64,16940.89,16.96,84.24,96.43,1.69,112.17,0.72,B-to-B,Mexico,South America
4,4,zoorprendente.com,136118.91,11866.0,10.8,71.41,83.03,1.43,202.93,1.36,Community & Culture,Mexico,South America
4,4,chilevision.cl,133954.7,23187.26,17.62,83.41,94.84,1.37,532.84,1.81,Movies & Television,Chile,South America
4,4,telediario.mx,127233.72,13439.63,12.07,86.71,95.14,1.91,111.72,0.91,Movies & Television,Mexico,South America
4,4,cuentosparadormir.com,117210.7,6578.73,6.74,61.34,95.37,1.6,55.67,0.91,Education & Careers,Mexico,South America
4,4,moneytimes.com.br,116791.25,9839.88,8.16,57.1,87.32,1.76,2.46,0.03,Money & Investing,Brazil,South America
4,4,suamusica.com.br,113082.22,46663.42,36.51,64.76,82.99,2.08,172.0,0.35,Music & Radio,Brazil,South America
