Domain,Format Loads,Impressions,Format Fill Rate,Viewability Rate,Efficiency Rate,CPM,Clicks,CTR,Category,Category importance,Country,Geographical zone,Geographical zone importance,Cluster
elcolombiano.com,356778.8276923077,22810.65230769231,8.218061538461539,86.24461538461529,96.83027692307691,1.6782769230769208,195.3907692307692,0.7436615384615387,News & Portals,58.6078771364875,Colombia,South America,53.27,2
biobiochile.cl,355148.8907103825,54434.97267759564,17.592923497267748,85.60650273224037,97.66642076502727,1.617103825136608,419.4043715846994,0.8039071038251369,News & Portals,58.6078771364875,Chile,South America,53.27,2
tribunnews.com,352676.3846153846,6641.241758241757,10.862417582417581,74.00021978021978,91.87571428571428,1.6528571428571437,80.84615384615384,0.9161538461538462,News & Portals,58.6078771364875,Indonesia,Asia,13.09,1
joaobidu.com.br,351715.5983606557,35401.092896174865,10.316967213114747,83.08882513661203,99.25521857923496,1.6921311475409788,214.39890710382514,0.6308743169398909,Health & Wellness,2.0807530344315084,Brazil,South America,53.27,4
cronica.com.ar,346442.40983606555,7813.150273224043,2.5107377049180317,77.29401639344266,87.69445355191259,1.6872677595628398,74.61748633879782,0.7620218579234979,News & Portals,58.6078771364875,Argentina,South America,53.27,2
mundohispanico.com,343385.1688741722,203967.15894039735,63.20470198675501,84.02956953642382,97.46334437086084,1.6601655629139054,1460.6721854304635,0.7620529801324505,News & Portals,58.6078771364875,United States,North America,8.32,1
teletica.com,343241.13846153853,6077.0615384615385,1.4509743589743591,78.14707692307691,87.18579487179487,1.542974358974359,75.54871794871795,0.7628717948717947,News & Portals,58.6078771364875,Costa Rica,South America,53.27,2
grid.id,337455.89010989014,8030.076923076923,16.858461538461533,69.66032967032966,90.3664835164835,1.584285714285714,51.87912087912088,0.5737362637362636,Glamour,4.756006935843448,Indonesia,Asia,13.09,3
thethao247.vn,334065.42307692306,3186.8461538461543,0.8853846153846153,71.52230769230769,81.94999999999997,1.7550000000000003,3.8461538461538463,0.10076923076923078,Sports,7.629427792915531,Vietnam,Asia,13.09,3
dak.gg,331568.15384615393,2143.589743589744,0.628974358974359,71.1725641025641,98.66282051282052,1.6764102564102563,6.846153846153847,0.20179487179487185,Tech & Gaming,1.9816695566014368,South Korea,Asia,13.09,3
vanguardia.com,329823.6612021858,23178.174863387983,7.35551912568306,85.31120218579238,94.69456284153006,1.7268579234972652,163.6584699453552,0.756857923497268,News & Portals,58.6078771364875,Colombia,South America,53.27,2
techandgeek.com,328418.7047619048,7884.514285714285,2.212761904761906,79.57180952380948,81.32752380952384,1.8800952380952376,0.6190476190476191,0.015619047619047624,Tech & Gaming,1.9816695566014368,United States,North America,8.32,3
crhoy.com,327545.59016393445,23802.64754098361,30.17795081967216,88.8614480874318,96.8301639344263,1.7068306010928935,202.00273224043715,0.8364754098360662,News & Portals,58.6078771364875,Costa Rica,South America,53.27,2
mendozapost.com,327359.6511627907,6334.651162790698,0.8009302325581394,82.1195348837209,79.3074418604651,1.3337209302325583,83.74418604651162,1.3588372093023258,News & Portals,58.6078771364875,Spain,West Europe,11.98,1
behindwoods.com,321474.30322580645,14517.012903225806,4.962193548387095,83.7925806451613,98.30312903225814,1.6304516129032265,112.57096774193548,0.7300322580645157,Community & Culture,6.613822145157296,India,Asia,13.09,3
diarioonline.com.br,320864.4262295082,28271.016393442624,8.793879781420763,84.07655737704918,97.38344262295082,1.6067213114754038,169.30327868852459,0.5307103825136616,News & Portals,58.6078771364875,Brazil,South America,53.27,2
medisite.fr,318776.83333333326,15980.416666666664,9.017499999999998,88.46999999999998,99.97416666666668,1.4166666666666663,147.08333333333334,0.8425000000000001,Health & Wellness,2.0807530344315084,France,West Europe,11.98,3
calcuworld.com,314675.34426229505,24023.86338797814,8.139562841530054,61.013169398907095,94.68565573770492,1.7048087431693943,108.50273224043717,0.4613114754098359,Education & Careers,2.4275452068367596,Mexico,South America,53.27,4
lebanondebate.com,300153.5482093664,4356.06611570248,0.9355371900826448,40.559696969696944,56.62964187327819,0.9936088154269972,34.482093663911854,0.4219283746556475,News & Portals,58.6078771364875,Lebanon,Arabia,1.55,1
prensa.com,300034.8619631902,37457.46625766871,19.835337423312897,76.66254601226994,95.26644171779148,1.6114110429447817,189.1257668711656,0.5027300613496929,News & Portals,58.6078771364875,Panama,South America,53.27,2
infojobs.com.br,298956.137254902,6248.816993464052,10.019477124183002,78.59797385620918,95.70470588235294,1.628954248366013,21.862745098039216,0.4377777777777779,Education & Careers,2.4275452068367596,Spain,West Europe,11.98,3
zerochan.net,295199.04166666674,7642.25,2.358333333333333,58.61249999999999,85.88208333333334,1.78625,25.79166666666667,0.3470833333333333,Community & Culture,6.613822145157296,United States,North America,8.32,3
wrc.net.pl,291960.54205607483,14771.771028037383,4.917616822429907,86.82074766355144,97.39247663551402,1.5011682242990652,131.56542056074767,0.7167289719626168,Autos,0.07431260837255388,Poland,East Europe,10.43,3
dainikamadershomoy.com,290137.9886792453,5191.026415094339,1.9243018867924533,85.36158490566041,97.92350943396221,1.6662641509433946,21.373584905660373,0.4030188679245283,News & Portals,58.6078771364875,Bangladesh,Asia,13.09,1
i3investor.com,288315.02185792354,13926.56830601093,6.300874316939892,68.23147540983608,88.15398907103824,1.4825683060109296,47.8360655737705,0.3345355191256832,Money & Investing,1.189001733960862,Malaysia,Asia,13.09,3
diariocambio.com.mx,282756.5655737705,13837.363387978145,6.129098360655745,89.58901639344253,96.85579234972685,1.6476502732240417,107.3934426229508,0.9425409836065568,News & Portals,58.6078771364875,Mexico,South America,53.27,2
cadena3.com,279359.4864864865,11821.364864864863,4.998648648648646,76.57675675675681,74.42621621621622,1.321486486486486,110.13513513513512,0.7651351351351353,Music & Radio,5.622987366856576,Argentina,South America,53.27,4
elpais.com.co,279211.62295081967,35200.409836065584,12.671448087431688,79.26896174863394,96.16467213114751,1.747049180327871,125.71038251366119,0.4151912568306011,News & Portals,58.6078771364875,Colombia,South America,53.27,2
cifraclub.com.br,277794.0277777777,36980.54861111112,31.49875,83.57395833333331,97.92097222222219,1.708819444444445,209.45833333333331,0.3056249999999999,Music & Radio,5.622987366856576,Brazil,South America,53.27,4
urdupoint.com,271875.0375,10375.5125,8.073,77.62850000000003,82.086,1.6875,61.1875,0.52275,News & Portals,58.6078771364875,Pakistan,Asia,13.09,1
otempo.com.br,267835.47267759556,84119.28961748634,37.28054644808742,82.76306010928961,99.571912568306,1.7661202185792324,314.93715846994536,0.4021857923497271,News & Portals,58.6078771364875,Brazil,South America,53.27,2
elsiglodetorreon.com.mx,267258.8989071038,21766.98907103825,8.411038251366119,81.18819672131148,95.3204918032786,1.6890437158469966,113.80327868852459,0.6432513661202186,News & Portals,58.6078771364875,Mexico,South America,53.27,2
eldestapeweb.com,267055.79824561405,4601.324561403509,5.2223684210526296,79.21789473684215,56.61877192982457,1.6008771929824563,45.14035087719297,0.7545614035087718,News & Portals,58.6078771364875,Argentina,South America,53.27,2
gogy.com,266097.2441471572,31813.21404682274,10.839096989966553,51.86334448160533,63.73056856187294,1.0939464882943128,195.47491638795987,0.4190635451505016,Tech & Gaming,1.9816695566014368,Russia,East Europe,10.43,3
lavoz.com.ar,265006.6130952381,13827.181547619048,7.040505952380952,82.03020833333338,90.79928571428567,1.437976190476187,108.98511904761904,0.6438690476190478,News & Portals,58.6078771364875,Argentina,South America,53.27,2
indosport.com,264896.60759493674,1440.7848101265824,0.5198312236286917,83.46890295358645,94.6665400843882,1.577172995780591,3.5063291139240507,0.3618565400843883,Sports,7.629427792915531,Indonesia,Asia,13.09,3
hmetro.com.my,262733.54285714286,18156.342857142856,7.365857142857141,87.36785714285713,96.95,1.5622857142857136,117.05714285714286,1.0402857142857147,News & Portals,58.6078771364875,Malaysia,Asia,13.09,1
giaoducthoidai.vn,262216.5681818182,12187.75,3.7849999999999993,68.43249999999999,77.81568181818183,1.497954545454545,4.0227272727272725,0.028863636363636376,Education & Careers,2.4275452068367596,Vietnam,Asia,13.09,3
zonarutoppuden.com,256843.2162162162,3845.432432432433,1.5156756756756755,86.35513513513511,94.95702702702701,2.3835135135135137,27.16216216216216,0.8945945945945947,Movies & Television,3.5670052018825857,Mexico,South America,53.27,4
finanz.ru,256606.88321167885,36650.255474452555,16.701678832116787,85.02430656934304,97.04934306569338,1.5397080291970804,12.927007299270072,0.06467153284671526,Money & Investing,1.189001733960862,Russia,East Europe,10.43,3
theitaliantimes.it,256086.43627450982,12805.254901960783,7.433431372549018,87.15249999999996,97.53882352941179,1.6914705882352927,54.68627450980392,0.3544607843137255,News & Portals,58.6078771364875,Italy,West Europe,11.98,1
larepublica.pe,254240.57399103142,15844.461883408072,8.84511210762332,84.28529147982057,95.05488789237673,1.7006278026905801,101.34529147982063,0.6743497757847532,News & Portals,58.6078771364875,Peru,South America,53.27,2
lacapitalmdp.com,249317.4047619048,9092.833333333334,3.56095238095238,88.83261904761908,83.0747619047619,1.4954761904761904,112.92857142857143,1.1916666666666664,News & Portals,58.6078771364875,Argentina,South America,53.27,2
botasot.info,242520.224,1771.5079999999998,0.28556,35.38372000000001,38.19007999999999,0.6634000000000001,18.535999999999998,0.3929600000000002,News & Portals,58.6078771364875,Albania,East Europe,10.43,1
facilisimo.com,242316.11041009464,21667.839116719242,13.14624605678233,83.21479495268152,91.79397476340695,1.6290536277602516,200.88328075709782,0.9027129337539432,Community & Culture,6.613822145157296,Mexico,South America,53.27,4
game24h.vn,242189.42424242425,1018.2222222222223,0.23282828282828286,41.81888888888891,37.64353535353535,0.8941414141414141,4.313131313131313,0.1806060606060606,Tech & Gaming,1.9816695566014368,Vietnam,Asia,13.09,3
hk01.com,233200.36764705885,18461.698529411766,18.95433823529412,82.0467647058823,93.43323529411764,1.5083823529411768,117.50735294117645,0.6650735294117648,News & Portals,58.6078771364875,Taiwan,Asia,13.09,1
clarin.com,231418.0769230769,21914.73076923077,9.284999999999998,80.17846153846153,77.46692307692308,1.5600000000000005,94.96153846153848,0.5953846153846153,News & Portals,58.6078771364875,Spain,West Europe,11.98,1
montevideo.com.uy,231012.11263736265,11627.0,5.200329670329666,84.13766483516483,93.71472527472513,1.8116758241758228,126.89285714285714,0.8404945054945057,News & Portals,58.6078771364875,Uruguay,South America,53.27,2
eliteprospects.com,229475.33333333328,34571.333333333336,15.177500000000002,72.11666666666667,98.36666666666666,1.9966666666666668,83.83333333333333,0.2383333333333333,Sports,7.629427792915531,Canada,North America,8.32,3
tvazteca.com,228963.28813559323,39914.310734463266,19.36745762711865,87.5871186440678,97.76039548022594,1.5218079096045207,409.5028248587569,1.1237853107344629,Community & Culture,6.613822145157296,Mexico,South America,53.27,4
jogosgratis.online,226328.11581920905,4276.0197740113,3.2059322033898288,75.55237288135595,91.38070621468927,1.6360734463276818,0.3192090395480226,0.01612994350282484,Casual Games,0.6440426058954669,Brazil,South America,53.27,4
notore.us,223289.9619047619,2555.761904761905,1.1062857142857143,75.66295238095233,87.43295238095243,1.9712380952380957,0.11428571428571427,0.00819047619047619,Community & Culture,6.613822145157296,United States,North America,8.32,3
diarioextra.com,221650.46174863385,14671.445355191256,6.70693989071038,87.95767759562834,96.39415300546446,1.6906010928961759,94.31693989071042,0.5850273224043718,News & Portals,58.6078771364875,Costa Rica,South America,53.27,2
pilio.idv.tw,221515.13114754102,11725.82786885246,5.326557377049179,87.35767759562839,99.38879781420763,1.8331420765027333,158.21311475409837,1.1637158469945352,Casual Games,0.6440426058954669,Taiwan,Asia,13.09,3
lebanon24.com,219605.01058201055,7020.820105820107,3.3645502645502643,87.15428571428575,96.55095238095235,1.6704761904761898,61.03174603174603,0.8847619047619047,News & Portals,58.6078771364875,Lebanon,Arabia,1.55,1
lance.com.br,216415.26849315065,69663.28767123287,30.78005479452053,75.04750684931508,99.32128767123291,1.6272054794520503,239.77260273972604,0.3154794520547945,Sports,7.629427792915531,Brazil,South America,53.27,4
colunadofla.com,215234.52298850575,38433.00574712644,18.831436781609188,86.91994252873566,99.4511494252873,1.5217816091954015,101.1896551724138,0.2948850574712644,Sports,7.629427792915531,Brazil,South America,53.27,4
bestie.vn,211848.89344262294,5478.789617486339,2.8048360655737703,83.99866120218583,93.06423497267762,1.6710382513661217,11.415300546448087,0.23937158469945366,Community & Culture,6.613822145157296,Vietnam,Asia,13.09,3
sib.fm,211661.9383561644,43110.65068493151,22.108013698630128,85.54520547945205,94.89773972602728,1.5070547945205466,66.55479452054793,0.30890410958904096,Community & Culture,6.613822145157296,Russia,East Europe,10.43,3
coolrom.com.au,209372.91666666663,1704.5,1.0391666666666668,79.62499999999999,58.09,1.5116666666666665,10.75,0.6891666666666666,Tech & Gaming,1.9816695566014368,Mexico,South America,53.27,4
diarioshow.com,209083.9836065574,5700.215846994535,2.7372677595628443,90.46898907103828,92.6539344262295,1.6946174863387955,66.00273224043714,0.9749180327868862,Glamour,4.756006935843448,Argentina,South America,53.27,4
tvn-2.com,205947.18316831684,32165.925742574258,19.10163366336634,83.10925742574256,97.02351485148507,1.6166831683168288,294.65346534653463,0.8731683168316836,News & Portals,58.6078771364875,Panama,South America,53.27,2
elblog.com,204868.67213114753,12361.803278688523,6.2494262295081935,83.8003825136612,93.29571038251369,1.7535519125683057,169.04644808743168,1.2887978142076495,News & Portals,58.6078771364875,El Salvador,South America,53.27,2
em.com.br,202106.87158469946,50333.55191256831,26.858688524590143,73.36423497267764,98.93636612021864,1.6402185792349675,213.30054644808743,0.42390710382513663,News & Portals,58.6078771364875,Brazil,South America,53.27,2
trendingpolitics.com,201977.0,3274.0,1.4766666666666666,60.93833333333333,60.28166666666666,0.8733333333333334,38.16666666666666,0.7166666666666667,News & Portals,58.6078771364875,United States,North America,8.32,1
indiatoday.in,198954.484375,10224.859375,12.840781249999996,68.43890624999999,78.44859375,1.2653124999999998,81.40625,0.3314062500000001,News & Portals,58.6078771364875,India,Asia,13.09,1
lelum.pl,198411.50750750754,27236.93993993994,6.6230330330330345,38.31183183183184,50.58732732732733,0.7833333333333339,310.94294294294286,0.4220420420420421,Health & Wellness,2.0807530344315084,Poland,East Europe,10.43,3
musica.com,197474.25757575763,40659.621212121216,31.460606060606068,84.05136363636362,92.80409090909089,1.5577272727272722,160.9848484848485,0.4286363636363636,Music & Radio,5.622987366856576,United States,North America,8.32,3
chapintv.com,197119.7963525836,14581.173252279636,7.244620060790278,85.34860182370814,94.96966565349544,1.737659574468085,171.14893617021278,1.1677507598784194,News & Portals,58.6078771364875,Guatemala,South America,53.27,2
typingtest.com,195651.4960629921,83235.64566929133,41.36440944881888,95.281811023622,99.53968503937004,1.751968503937008,59.51968503937008,0.07566929133858269,Tech & Gaming,1.9816695566014368,United States,North America,8.32,3
echo.msk.ru,195468.77747252746,21194.54120879121,5.477857142857144,25.87403846153846,32.116868131868124,0.6066483516483514,160.51098901098905,0.22247252747252744,Music & Radio,5.622987366856576,Russia,East Europe,10.43,3
elespectador.com,195351.09764309766,30381.969696969696,21.89367003367003,72.77676767676768,84.70959595959594,1.4247474747474758,152.006734006734,0.4219191919191919,News & Portals,58.6078771364875,Colombia,South America,53.27,2
